Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  where is my bus 7:57 am the bu...  Open      26 Mar, 26     #12007319
  where is my bus 7:54 am i can'...  Open      26 Mar, 26     #12007248
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12007213
  i had a payment related issue ...  Open      26 Mar, 26     #12007088
  i had an issue with driver 7:4...  Open      26 Mar, 26     #12007038
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12007021
  where is my bus 7:39 am i can'...  Open      26 Mar, 26     #12006936
  i lost or found something 7:39...  Open      26 Mar, 26     #12006934
  suggestions: route, timing, st...  Open      26 Mar, 26     #12006806
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12006745
  i had an issue with ac 7:30 am...  Open      26 Mar, 26     #12006709
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12006708
  i had an issue with ac 7:28 am...  Open      26 Mar, 26     #12006681
  i missed my bus 7:25 am i want...  Open      26 Mar, 26     #12006616
  i have an issue with ac 7:23 a...  Open      26 Mar, 26     #12006595
  suggestions: route, timing, st...  Open      26 Mar, 26     #12006510
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12006509
  i lost or found something 7:15...  Open      26 Mar, 26     #12006429
  suggestions: route, timing, st...  Open      26 Mar, 26     #12006252
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12006250
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12006025
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12005738
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12005730
  i had an issue with ac 6:21 am...  Open      26 Mar, 26     #12005728
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12005696
  app issue 6:06 am slow app 6:0...  Open      26 Mar, 26     #12005654
  app issue 12:58 am unable to b...  Open      25 Mar, 26     #12005323
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12005256
  tracking issue 12:10 am i coul...  Open      25 Mar, 26     #12005077
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12005076
  i had an issue with driver 12:...  Open      25 Mar, 26     #12005011
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12005009
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004993
  suggestions: route, timing, st...  Open      25 Mar, 26     #12004955
  i had an issue with driver 11:...  Open      25 Mar, 26     #12004951
  app issue 11:21 pm unable to c...  Open      25 Mar, 26     #12004687
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004686
  my seat had a problem 11:15 pm...  Open      25 Mar, 26     #12004606
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004605
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004492
  my seat had a problem 10:48 pm...  Open      25 Mar, 26     #12004303
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004261
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004228
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004195
  tracking issue 10:38 pm tracki...  Open      25 Mar, 26     #12004183
  i had an issue with driver 10:...  Open      25 Mar, 26     #12004153
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004151
  i had an issue with ac 10:31 p...  Open      25 Mar, 26     #12004090
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12004089
  i had an issue with driver 10:...  Open      25 Mar, 26     #12004004
  my seat had a problem 10:16 pm...  Open      25 Mar, 26     #12003863
