#,Route Name,Departure,First Pickup Stop,Last Pickup Stop
124,Thane - Wadala,07:30:00,Millenium Business Park,Millenium Business Park
125,Tulip D1 To Panvel Station,07:30:00,Tulip D1 Wadhwa,Tulip D1 Wadhwa
126,Thane Kopari - Azad Nagar,07:30:59,Thane Kopari Indofil,Thane Kopari Indofil
127,Kalyan 2 (Kalyan - Mindspace Juinagar),07:35:00,Shivaji Nagar ISEC,Shilphata ISEC
128,Nerul - Thane,07:35:00,Nerul Station (E) Bayer,Balkum Bayer
129,Thane 2 (Thane - Mindspace Juinagar),07:35:00,Vihang Nova (ISEC),"Garam Masala , Airoli ISEC"
130,Palm Beach Road - South Mumbai,07:35:23,Inorbit Mall,Kharkopar Railway station
131,Andheri - Thane (B),07:40:00,Andheri Teli Galli Opp Hubtown Solaris Signal Bayer,Viviana Mall Bayer
132,Dange Chowk-Commerzone,07:40:00,Bhoomkar chowk B&V,Breman Chowk B&V
133,Ghatkopar West - Thane,07:40:00,Ghatkopar pipe line Bayer,Patlipada Junction Bayer
134,Katai 1 (Katai Naka - Mindspace Juinagar),07:40:00,Gurudev Hotel ISEC,"Mindspace, Juinagar ISEC"
135,Katraj - Commerzone,07:40:00,Dattanagar Chowk B&V,Shaniwar Wada B&V
136,Mira Road - BKC,07:40:00,"Kalyan (STFC,BKC)","Kalyan (STFC,BKC)"
137,Moshi - Commerzone,07:40:00,Sardar Chowk B&V,Vishrantwadi B&V
138,Nanded City - Commerzone,07:40:00,Rajaram pool bridge B&V,Sangamwadi B&V
139,Navi Mumbai - Lower Parel (Atal Setu),07:40:00,Balaji Heights,"Delta Tower, Ulwe"
140,Panvel - South Mumbai (Via Atal Setu),07:40:00,Satyaketu Complex,"Delta Tower, Ulwe"
141,SANTACRUZ-ANDHERI,07:40:00,Chembur Naka,Chembur Naka
142,Thane (Wagbil) - Solitaire park Andheri,07:40:00,Thane Waghbil (D decor),Thane Waghbil (D decor)
143,Undri - Commerzone,07:40:00,Aero East Society B&V,SAFA Motors B&V
144,Vashi - Goregaon East (STH),07:40:00,"DMART, Ghansoli",Vashi Highway
145,Warje - Commerzone,07:40:00,Aditya Garden City,Deccan B&V
146,Andheri East - South Mumbai,07:45:00,Kanakia Seven,Bisleri Junction
147,Bhayander - Thane,07:45:00,Bhayander Station(W) Bayer, Waghbil Stop Bayer
148,Chembur - Powai,07:45:00,BARC Main Gate,Vikhroli Station
149,Ghansoli - Powai,07:45:00,Ghansoli West   TATA Projects,Bhandup Pumping Station TATA Projects
150,Kalyan khadakpada circle - K8 (General),07:45:00,Khadakpada circle,Usaatane Gaon
151,Karanjade - K1 [General (Saturday)],07:45:00,"Karanjade, Vadghar DFPCL",Navde phata DFPCL
152,Mulund 2 (Thane - Mindspace Juinagar),07:45:00,Nitin Signal ISEC,"Garam Masala , Airoli ISEC"
153,Panvel 1 (Panvel - Mindspace Juinagar),07:45:00,Takka Road (ISEC),CBD highway ISEC
154,Charoli-Commerzone,07:50:00,Tanish Park Chowk B&V,Vishrantwadi B&V
155,Dadar 2 (Dadar TT - Mindspace Juinagar),07:50:00,Lower Parel,Mankhurd
156,Dombivali Gharda - Mindspace (Juinagar),07:50:00,New Kalyan Road (ISEC),Manpada ISEC
157,Hadapsar - Commerzone,07:50:00,Manjari Stud Farm B&V,Jail Road B&V
158,Panvel - Lower Parel (Via Atal Setu),07:50:00,Satyaketu Complex,Kharkopar Railway station
159,Wagholi - Commerzone,07:50:00,Bakori Phata B&V,Jail Road B&V
160,Andheri East - Powai,08:00:00,Andheri east station - Ackruti center TATA Projects,Pratap Nagar TATA Projects
161,Ashok Deluxe - Mahalakshmi,08:00:00,Ashok deluxe apartments UNext,Ashok deluxe apartments UNext
162,Ghatkopar - Powai,08:00:00,Ghatkopar Station  TATA Projects,Vikhroli Station LBS  TATA Projects
163,K8 - K8,08:00:00,Deepak Fertiliser Plant K8,Deepak Fertiliser Plant K8
164,Karanjade - K1 (General),08:00:00,"Karanjade, Vadghar DFPCL",Trombay Koliwada DFPCL
165,Katai 2 (Katai Naka - Mindspace Juinagar),08:00:00,Katai Naka ISEC,Shilphata ISEC
166,Mulund - Andheri,08:00:00,Tirumala Habitats,Bhandup Pumping Bus Stop
